series,paper_ref,qp,ms
2019-01,WCH11-01,present,dup-of-corpus
2019-06,WCH11-01,present,present
2019-06,WCH12-01,present,present
2019-06,WCH13-01,present,present
2019-10,WCH11-01,present,present
2019-10,WCH12-01,present,present
2019-10,WCH13-01,present,present
2020-01,WCH11-01,present,present
2020-01,WCH12-01,present,present
2020-01,WCH13-01,present,present
2020-01,WCH14-01,present,present
2020-10,WCH11-01,present,present
2020-10,WCH12-01,present,present
2020-10,WCH13-01,present,present
2020-10,WCH14-01,present,present
2020-10,WCH15-01,present,present
2020-10,WCH16-01,present,present
2021-01,WCH11-01,present,present
2021-01,WCH12-01,present,present
2021-01,WCH13-01,present,present
2021-01,WCH14-01,present,present
2021-01,WCH15-01,present,present
2021-01,WCH16-01,present,present
2021-06,WCH11-01,present,present
2021-06,WCH12-01,present,present
2021-06,WCH13-01,present,present
2021-06,WCH14-01,present,present
2021-06,WCH15-01,present,present
2021-06,WCH16-01,present,present
2021-10,WCH11-01,present,present
2021-10,WCH12-01,present,present
2021-10,WCH13-01,present,present
2021-10,WCH14-01,present,present
2021-10,WCH15-01,present,present
2021-10,WCH16-01,present,present
2022-01,WCH11-01,present,present
2022-01,WCH12-01,present,present
2022-01,WCH13-01,present,present
2022-01,WCH14-01,present,present
2022-01,WCH15-01,present,present
2022-01,WCH16-01,present,present
2022-06,WCH11-01,present,present
2022-06,WCH12-01,present,present
2022-06,WCH13-01,present,present
2022-06,WCH14-01,present,present
2022-06,WCH15-01,present,present
2022-06,WCH16-01,present,present
2022-10,WCH11-01,present,present
2022-10,WCH12-01,present,present
2022-10,WCH13-01,present,present
2022-10,WCH14-01,present,present
2022-10,WCH15-01,present,present
2022-10,WCH16-01,present,present
2023-01,WCH11-01,present,present
2023-01,WCH12-01,present,present
2023-01,WCH13-01,present,present
2023-01,WCH14-01,present,present
2023-01,WCH15-01,present,present
2023-01,WCH16-01,present,present
2023-06,WCH11-01,present,present
2023-06,WCH12-01,present,present
2023-06,WCH13-01,present,present
2023-06,WCH14-01,present,present
2023-06,WCH15-01,present,present
2023-06,WCH16-01,present,present
2023-10,WCH11-01,present,present
2023-10,WCH12-01,present,present
2023-10,WCH13-01,present,present
2023-10,WCH14-01,present,present
2023-10,WCH15-01,present,present
2023-10,WCH16-01,present,
2024-01,WCH11-01,present,present
2024-01,WCH12-01,present,present
2024-01,WCH13-01,present,present
2024-01,WCH14-01,present,present
2024-01,WCH15-01,present,present
2024-01,WCH16-01,present,present
2024-06,WCH11-01,present,present
2024-06,WCH12-01,present,present
2024-06,WCH13-01,present,present
2024-06,WCH14-01,present,present
2024-06,WCH15-01,present,present
2024-06,WCH16-01,present,present
2024-10,WCH11-01,present,present
2024-10,WCH12-01,present,present
2024-10,WCH13-01,present,present
2024-10,WCH14-01,present,present
2024-10,WCH15-01,present,present
2024-10,WCH16-01,present,present
2025-01,WCH11-01,present,present
2025-01,WCH12-01,present,present
2025-01,WCH13-01,present,present
2025-01,WCH14-01,present,present
2025-01,WCH15-01,present,present
2025-01,WCH16-01,present,present
