series,paper_ref,qp,ms
2009-06,WCH01-01,quarantined,quarantined
2009-06,WCH02-01,quarantined,quarantined
2009-06,WCH03-01,quarantined,quarantined
2010-01,WCH01-01,quarantined,quarantined
2010-01,WCH02-01,quarantined,quarantined
2010-01,WCH03-01,quarantined,quarantined
2010-01,WCH04-01,quarantined,quarantined
2010-06,WCH01-01,quarantined,quarantined
2010-06,WCH02-01,quarantined,quarantined
2010-06,WCH03-01,quarantined,quarantined
2010-06,WCH04-01,quarantined,quarantined
2010-06,WCH05-01,quarantined,quarantined
2010-06,WCH06-01,quarantined,quarantined
2011-01,WCH01-01,quarantined,quarantined
2011-01,WCH02-01,quarantined,quarantined
2011-01,WCH03-01,quarantined,quarantined
2011-01,WCH04-01,quarantined,quarantined
2011-01,WCH05-01,quarantined,quarantined
2011-01,WCH06-01,quarantined,quarantined
2011-06,WCH01-01,quarantined,quarantined
2011-06,WCH02-01,quarantined,quarantined
2011-06,WCH03-01,quarantined,quarantined
2011-06,WCH04-01,quarantined,quarantined
2011-06,WCH05-01,quarantined,quarantined
2011-06,WCH06-01,quarantined,quarantined
2012-01,WCH01-01,quarantined,quarantined
2012-01,WCH02-01,quarantined,quarantined
2012-01,WCH03-01,quarantined,quarantined
2012-01,WCH04-01,quarantined,quarantined
2012-01,WCH05-01,quarantined,quarantined
2012-01,WCH06-01,quarantined,quarantined
2012-06,WCH01-01,quarantined,quarantined
2012-06,WCH02-01,quarantined,quarantined
2012-06,WCH03-01,quarantined,quarantined
2012-06,WCH04-01,quarantined,quarantined
2012-06,WCH05-01,quarantined,quarantined
2012-06,WCH06-01,quarantined,quarantined
2013-01,WCH01-01,quarantined,quarantined
2013-01,WCH02-01,quarantined,quarantined
2013-01,WCH03-01,quarantined,quarantined
2013-01,WCH04-01,quarantined,quarantined
2013-01,WCH05-01,quarantined,quarantined
2013-01,WCH06-01,quarantined,quarantined
2013-06,WCH01-01,quarantined,quarantined
2013-06,WCH01-01R,quarantined,quarantined
2013-06,WCH02-01,quarantined,quarantined
2013-06,WCH02-01R,quarantined,quarantined
2013-06,WCH03-01,quarantined,quarantined
2013-06,WCH04-01,quarantined,quarantined
2013-06,WCH04-01R,quarantined,quarantined
2013-06,WCH05-01,quarantined,quarantined
2013-06,WCH05-01R,quarantined,quarantined
2013-06,WCH06-01,quarantined,quarantined
2014-01,WCH01-01,present,present
2014-01,WCH02-01,present,present
2014-01,WCH03-01,present,present
2014-01,WCH04-01,present,present
2014-01,WCH05-01,present,present
2014-01,WCH06-01,present,present
2014-06,WCH01-01,dup-of-corpus,dup-of-corpus
2014-06,WCH01-01R,quarantined,quarantined
2014-06,WCH02-01,dup-of-corpus,dup-of-corpus
2014-06,WCH02-01R,quarantined,quarantined
2014-06,WCH03-01,present,present
2014-06,WCH04-01,dup-of-corpus,dup-of-corpus
2014-06,WCH04-01R,quarantined,quarantined
2014-06,WCH05-01,dup-of-corpus,dup-of-corpus
2014-06,WCH05-01R,quarantined,quarantined
2014-06,WCH06-01,present,present
2015-01,WCH01-01,present,present
2015-01,WCH02-01,present,present
2015-01,WCH03-01,present,present
2015-01,WCH04-01,present,present
2015-01,WCH05-01,present,present
2015-01,WCH06-01,present,present
2015-06,WCH01-01,dup-of-corpus,dup-of-corpus
2015-06,WCH02-01,dup-of-corpus,dup-of-corpus
2015-06,WCH03-01,present,present
2015-06,WCH04-01,dup-of-corpus,dup-of-corpus
2015-06,WCH05-01,dup-of-corpus,dup-of-corpus
2015-06,WCH06-01,present,present
2016-01,WCH01-01,present,present
2016-01,WCH02-01,present,present
2016-01,WCH03-01,present,present
2016-01,WCH04-01,present,present
2016-01,WCH05-01,present,present
2016-01,WCH06-01,present,present
2016-06,WCH01-01,dup-of-corpus,dup-of-corpus
2016-06,WCH02-01,dup-of-corpus,dup-of-corpus
2016-06,WCH03-01,present,present
2016-06,WCH04-01,dup-of-corpus,dup-of-corpus
2016-06,WCH05-01,dup-of-corpus,dup-of-corpus
2016-06,WCH06-01,present,present
2016-10,WCH01-01,present,present
2016-10,WCH02-01,present,present
2016-10,WCH03-01,present,present
2017-01,WCH01-01,present,present
2017-01,WCH02-01,present,present
2017-01,WCH03-01,present,present
2017-01,WCH04-01,present,present
2017-01,WCH05-01,present,present
2017-01,WCH06-01,present,present
2017-06,WCH01-01,dup-of-corpus,dup-of-corpus
2017-06,WCH02-01,dup-of-corpus,dup-of-corpus
2017-06,WCH03-01,present,present
2017-06,WCH04-01,dup-of-corpus,quarantined
2017-06,WCH05-01,dup-of-corpus,dup-of-corpus
2017-06,WCH06-01,present,present
2017-10,WCH01-01,present,present
2017-10,WCH02-01,present,present
2017-10,WCH03-01,present,present
2017-10,WCH04-01,present,present
2017-10,WCH05-01,present,present
2017-10,WCH06-01,present,present
2018-01,WCH01-01,present,present
2018-01,WCH02-01,present,present
2018-01,WCH03-01,present,present
2018-01,WCH04-01,present,present
2018-01,WCH05-01,present,present
2018-01,WCH06-01,present,present
2018-06,WCH01-01,present,present
2018-06,WCH02-01,present,present
2018-06,WCH03-01,present,present
2018-06,WCH04-01,present,present
2018-06,WCH05-01,present,present
2018-06,WCH06-01,present,present
2018-10,WCH01-01,present,present
2018-10,WCH02-01,present,present
2018-10,WCH03-01,present,present
2018-10,WCH04-01,present,present
2018-10,WCH05-01,present,present
2018-10,WCH06-01,present,present
2019-01,WCH01-01,present,present
2019-01,WCH02-01,present,present
2019-01,WCH03-01,present,present
2019-01,WCH04-01,present,present
2019-01,WCH05-01,present,present
2019-01,WCH06-01,quarantined,present
2019-06,WCH01-01,present,present
2019-06,WCH02-01,present,present
2019-06,WCH03-01,quarantined,present
2019-06,WCH04-01,present,present
2019-06,WCH05-01,present,present
2019-06,WCH06-01,present,present
