series,paper_ref,qp,ms
2011-06,4CH0-1C,present,present
2011-06,4CH0-2C,present,present
2012-01,4CH0-1C,present,present
2012-01,4CH0-2C,present,present
2012-06,4CH0-1C,present,present
2012-06,4CH0-2C,present,present
2013-01,4CH0-1C,present,present
2013-01,4CH0-2C,present,present
2013-06,4CH0-1C,present,present
2013-06,4CH0-1CR,dup-of-corpus,dup-of-corpus
2013-06,4CH0-2C,present,present
2013-06,4CH0-2CR,dup-of-corpus,dup-of-corpus
2014-01,4CH0-1C,present,present
2014-01,4CH0-2C,present,present
2014-06,4CH0-1C,present,present
2014-06,4CH0-1CR,dup-of-corpus,dup-of-corpus
2014-06,4CH0-2C,present,present
2014-06,4CH0-2CR,dup-of-corpus,dup-of-corpus
2015-01,4CH0-1C,present,present
2015-01,4CH0-2C,present,present
2015-06,4CH0-1C,present,present
2015-06,4CH0-2C,present,present
2016-01,4CH0-1C,present,present
2016-01,4CH0-2C,present,present
2016-06,4CH0-1C,present,present
2016-06,4CH0-1CR,dup-of-corpus,dup-of-corpus
2016-06,4CH0-2C,present,present
2016-06,4CH0-2CR,dup-of-corpus,dup-of-corpus
2017-01,4CH0-1C,present,present
2017-01,4CH0-2C,present,present
2017-06,4CH0-1C,present,present
2017-06,4CH0-1CR,dup-of-corpus,dup-of-corpus
2017-06,4CH0-2C,present,present
2017-06,4CH0-2CR,dup-of-corpus,dup-of-corpus
2018-01,4CH0-1C,present,present
2018-01,4CH0-2C,present,present
2018-06,4CH0-1C,present,present
2018-06,4CH0-2C,present,present
2019-01,4CH0-1C,present,present
2019-01,4CH0-2C,present,present
2019-06,4CH1-1C,present,present
2019-06,4CH1-1CR,present,present
2019-06,4CH1-2C,present,present
2019-06,4CH1-2CR,present,present
2020-01,4CH1-1C,present,present
2020-01,4CH1-1CR,present,present
2020-01,4CH1-2C,present,present
2020-01,4CH1-2CR,present,present
2020-06,4CH1-1C,present,present
2020-06,4CH1-1CR,dup-of-corpus,dup-of-corpus
2020-06,4CH1-2C,present,present
2020-06,4CH1-2CR,dup-of-corpus,dup-of-corpus
2021-01,4CH1-1C,present,present
2021-01,4CH1-1CR,present,present
2021-01,4CH1-2C,present,present
2021-01,4CH1-2CR,present,present
2021-06,4CH1-1C,present,present
2021-06,4CH1-2C,present,present
2021-11,4CH1-1C,present,present
2021-11,4CH1-2C,present,present
2022-01,4CH1-1C,present,present
2022-01,4CH1-1CR,present,present
2022-01,4CH1-2C,present,present
2022-01,4CH1-2CR,present,present
2022-06,4CH1-1C,present,present
2022-06,4CH1-1CR,present,present
2022-06,4CH1-2C,present,present
2022-06,4CH1-2CR,present,present
2023-01,4CH1-1C,present,present
2023-01,4CH1-1CR,present,present
2023-01,4CH1-2C,present,present
2023-01,4CH1-2CR,present,present
2023-06,4CH1-1C,present,present
2023-06,4CH1-1CR,present,present
2023-06,4CH1-2C,present,present
2023-06,4CH1-2CR,present,present
2024-06,4CH1-1C,present,present
2024-06,4CH1-1CR,present,present
2024-06,4CH1-2C,present,present
2024-06,4CH1-2CR,present,present
