board,qualification,subject,spec_slug,series,paper_ref,variant,material_type,source_page_url,source_file_url,expected_identity,status
cambridge-international,igcse,mathematics,0580,2022-03,0580/12,2,qp,,https://pastpapers.co/cie/IGCSE/Mathematics-0580/2022-March/0580_m22_qp_12.pdf,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/12 2022 February/March question paper,planned
cambridge-international,igcse,mathematics,0580,2022-03,0580/12,2,ms,,https://pastpapers.co/cie/IGCSE/Mathematics-0580/2022-March/0580_m22_ms_12.pdf,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/12 2022 February/March mark scheme,planned
cambridge-international,igcse,mathematics,0580,2022-03,0580/22,2,qp,,https://pastpapers.co/cie/IGCSE/Mathematics-0580/2022-March/0580_m22_qp_22.pdf,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/22 2022 February/March question paper,planned
cambridge-international,igcse,mathematics,0580,2022-03,0580/22,2,ms,,https://pastpapers.co/cie/IGCSE/Mathematics-0580/2022-March/0580_m22_ms_22.pdf,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/22 2022 February/March mark scheme,planned
cambridge-international,igcse,mathematics,0580,2022-03,0580/42,2,qp,,https://pastpapers.co/cie/IGCSE/Mathematics-0580/2022-March/0580_m22_qp_42.pdf,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/42 2022 February/March question paper,planned
cambridge-international,igcse,mathematics,0580,2022-03,0580/42,2,ms,,https://pastpapers.co/cie/IGCSE/Mathematics-0580/2022-March/0580_m22_ms_42.pdf,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/42 2022 February/March mark scheme,planned
cambridge-international,igcse,mathematics,0580,2023-11,0580/12,1,ms,,,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/12 2023 October/November mark scheme; not hosted by the source,planned
cambridge-international,igcse,mathematics,0580,2023-11,0580/13,1,ms,,,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/13 2023 October/November mark scheme; not hosted by the source,planned
cambridge-international,igcse,mathematics,0580,2023-11,0580/21,2,ms,,,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/21 2023 October/November mark scheme; not hosted by the source,planned
cambridge-international,igcse,mathematics,0580,2023-11,0580/22,2,ms,,,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/22 2023 October/November mark scheme; not hosted by the source,planned
cambridge-international,igcse,mathematics,0580,2023-11,0580/23,2,ms,,,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/23 2023 October/November mark scheme; not hosted by the source,planned
cambridge-international,igcse,mathematics,0580,2023-11,0580/31,3,ms,,,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/31 2023 October/November mark scheme; not hosted by the source,planned
cambridge-international,igcse,mathematics,0580,2023-11,0580/32,3,ms,,,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/32 2023 October/November mark scheme; not hosted by the source,planned
cambridge-international,igcse,mathematics,0580,2023-11,0580/33,3,ms,,,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/33 2023 October/November mark scheme; not hosted by the source,planned
cambridge-international,igcse,mathematics,0580,2023-11,0580/41,4,ms,,,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/41 2023 October/November mark scheme; not hosted by the source,planned
cambridge-international,igcse,mathematics,0580,2023-11,0580/42,4,ms,,,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/42 2023 October/November mark scheme; not hosted by the source,planned
cambridge-international,igcse,mathematics,0580,2023-11,0580/43,4,ms,,,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/43 2023 October/November mark scheme; not hosted by the source,planned
cambridge-international,igcse,mathematics,0580,2024-06,0580/11,1,ms,,,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/11 2024 May/June mark scheme; not hosted by the source,planned
cambridge-international,igcse,mathematics,0580,2024-06,0580/12,1,ms,,,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/12 2024 May/June mark scheme; not hosted by the source,planned
cambridge-international,igcse,mathematics,0580,2024-06,0580/13,1,ms,,,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/13 2024 May/June mark scheme; not hosted by the source,planned
cambridge-international,igcse,mathematics,0580,2024-06,0580/21,2,ms,,,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/21 2024 May/June mark scheme; not hosted by the source,planned
cambridge-international,igcse,mathematics,0580,2024-06,0580/22,2,ms,,,Cambridge igcse Cambridge IGCSE Mathematics (0580) 0580/22 2024 May/June mark scheme; not hosted by the source,planned
