board,qualification,subject,spec_slug,series,paper_ref,variant,material_type,source_page_url,source_file_url,expected_identity,status
pearson-edexcel,international-a-level,chemistry,wch11,2019-01,WCH11-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/MS/January 2019 (IAL) MS .pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 January 2019 mark scheme [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2019-01,WCH11-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/QP/January 2019 (IAL) QP .pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 January 2019 question paper [PMT label: January = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2019-06,WCH11-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/MS/June 2019 (IAL) MS .pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 June 2019 mark scheme [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2019-06,WCH11-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/QP/June 2019 (IAL) QP .pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 June 2019 question paper [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2019-06,WCH12-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/MS/June 2019 (IAL) MS .pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 June 2019 mark scheme [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2019-06,WCH12-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/QP/June 2019 (IAL) QP .pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 June 2019 question paper [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2019-06,WCH13-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/MS/June 2019 (IAL) MS .pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 June 2019 mark scheme [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2019-06,WCH13-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/QP/June 2019 (IAL) QP .pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 June 2019 question paper [PMT label: June = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2019-10,WCH11-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/MS/October 2019 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 October 2019 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch11,2019-10,WCH11-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/QP/October 2019 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH11/01 October 2019 question paper [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2019-10,WCH12-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/MS/October 2019 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 October 2019 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch12,2019-10,WCH12-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/QP/October 2019 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH12/01 October 2019 question paper [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2019-10,WCH13-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/MS/October 2019 (IAL) MS.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 October 2019 mark scheme [PMT label: October = IAL session],normalized
pearson-edexcel,international-a-level,chemistry,wch13,2019-10,WCH13-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/QP/October 2019 (IAL) QP.pdf,Edexcel IAL Chemistry (2018 spec) WCH13/01 October 2019 question paper [PMT label: October = IAL session],normalized
