board,qualification,subject,spec_slug,series,paper_ref,variant,material_type,source_page_url,source_file_url,expected_identity,status
pearson-edexcel,international-a-level,chemistry,wch01,2009-06,WCH01-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-1/June 2009 MS - Unit 1 Edexcel Chemistry A-level.pdf,Edexcel pre-2018 Unit 1 Chemistry (WCH01 IAL or 6CH01 GCE - resolved from PDF print at verify) June 2009 mark scheme,quarantined
pearson-edexcel,international-a-level,chemistry,wch01,2009-06,WCH01-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-1/June 2009 QP - Unit 1 Edexcel Chemistry A-level.pdf,Edexcel pre-2018 Unit 1 Chemistry (WCH01 IAL or 6CH01 GCE - resolved from PDF print at verify) June 2009 question paper,quarantined
pearson-edexcel,international-a-level,chemistry,wch02,2009-06,WCH02-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-2/June 2009 MS - Unit 2 Edexcel Chemistry A-level.pdf,Edexcel pre-2018 Unit 2 Chemistry (WCH02 IAL or 6CH02 GCE - resolved from PDF print at verify) June 2009 mark scheme,quarantined
pearson-edexcel,international-a-level,chemistry,wch02,2009-06,WCH02-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-2/June 2009 QP - Unit 2 Edexcel Chemistry A-level.pdf,Edexcel pre-2018 Unit 2 Chemistry (WCH02 IAL or 6CH02 GCE - resolved from PDF print at verify) June 2009 question paper,quarantined
pearson-edexcel,international-a-level,chemistry,wch03,2009-06,WCH03-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-3/June 2009 MS - Unit 3 Edexcel Chemistry A-level.pdf,Edexcel pre-2018 Unit 3 Chemistry (WCH03 IAL or 6CH03 GCE - resolved from PDF print at verify) June 2009 mark scheme,quarantined
pearson-edexcel,international-a-level,chemistry,wch03,2009-06,WCH03-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-3/June 2009 QP - Unit 3 Edexcel Chemistry A-level.pdf,Edexcel pre-2018 Unit 3 Chemistry (WCH03 IAL or 6CH03 GCE - resolved from PDF print at verify) June 2009 question paper,quarantined
pearson-edexcel,international-a-level,chemistry,wch01,2010-01,WCH01-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-1/January 2010 MS - Unit 1 Edexcel Chemistry A-level.pdf,Edexcel pre-2018 Unit 1 Chemistry (WCH01 IAL or 6CH01 GCE - resolved from PDF print at verify) January 2010 mark scheme,quarantined
pearson-edexcel,international-a-level,chemistry,wch01,2010-01,WCH01-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-1/January 2010 QP - Unit 1 Edexcel Chemistry A-level.pdf,Edexcel pre-2018 Unit 1 Chemistry (WCH01 IAL or 6CH01 GCE - resolved from PDF print at verify) January 2010 question paper,quarantined
pearson-edexcel,international-a-level,chemistry,wch02,2010-01,WCH02-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-2/January 2010 MS - Unit 2 Edexcel Chemistry A-level.pdf,Edexcel pre-2018 Unit 2 Chemistry (WCH02 IAL or 6CH02 GCE - resolved from PDF print at verify) January 2010 mark scheme,quarantined
pearson-edexcel,international-a-level,chemistry,wch02,2010-01,WCH02-01,none,qp,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-2/January 2010 QP - Unit 2 Edexcel Chemistry A-level.pdf,Edexcel pre-2018 Unit 2 Chemistry (WCH02 IAL or 6CH02 GCE - resolved from PDF print at verify) January 2010 question paper,quarantined
pearson-edexcel,international-a-level,chemistry,wch03,2010-01,WCH03-01,none,ms,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-3/January 2010 MS - Unit 3 Edexcel Chemistry A-level.pdf,Edexcel pre-2018 Unit 3 Chemistry (WCH03 IAL or 6CH03 GCE - resolved from PDF print at verify) January 2010 mark scheme,quarantined
