row_id,source_file_url,source_page_url,sha256,duplicate_of,fetched_at,note
4ch0--2013-06--4CH0-1CR--ms,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/June 2013 (R) MS - Paper 1C Edexcel Chemistry IGCSE.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,b45e7d8549f7f3fd7029d8b9d9ff5ab1c8483c435823503981e40db825294a3e,past-papers/pearson-edexcel/international-gcse/chemistry/4ch0/past-papers/2013-06/4CH0-1C/ms.pdf,2026-09-11T11:55:21Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch0--2013-06--4CH0-1CR--qp,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/June 2013 (R) QP - Paper 1C Edexcel Chemistry IGCSE.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,bdbf981128aa3ef1392480c4da928aa13f70597219fa7694a35006569ec75722,past-papers/pearson-edexcel/international-gcse/chemistry/4ch0/past-papers/2013-06/4CH0-1C/qp.pdf,2026-09-11T11:55:24Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch0--2013-06--4CH0-2CR--ms,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/June 2013 (R) MS - Paper 2C Edexcel Chemistry IGCSE.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,8aacda5ad15110f8ab88ae158afbf6ab1af475ebab59f99f16be2840585d3a6c,past-papers/pearson-edexcel/international-gcse/chemistry/4ch0/past-papers/2013-06/4CH0-2C/ms.pdf,2026-09-11T11:55:28Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch0--2013-06--4CH0-2CR--qp,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/June 2013 (R) QP - Paper 2C Edexcel Chemistry IGCSE.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,9394357770611a6a9d6653ea2f9715bfa7a0198fec8a59ec254ac2235bc1f774,past-papers/pearson-edexcel/international-gcse/chemistry/4ch0/past-papers/2013-06/4CH0-2C/qp.pdf,2026-09-11T11:55:31Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch0--2014-06--4CH0-1CR--ms,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/June 2014 (R) MS - Paper 1C Edexcel Chemistry IGCSE.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,b81fd2bc25bac1fb611e44b68b38d6f771ae1aca261f4c84962ddcd8f437a026,past-papers/pearson-edexcel/international-gcse/chemistry/4ch0/past-papers/2014-06/4CH0-1C/ms.pdf,2026-09-11T11:55:35Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch0--2014-06--4CH0-1CR--qp,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/June 2014 (R) QP - Paper 1C Edexcel Chemistry IGCSE.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,b1fa10107dad8964471cf4bd0b119f520bc56c65daf15d1eabc67c34b65d5da0,past-papers/pearson-edexcel/international-gcse/chemistry/4ch0/past-papers/2014-06/4CH0-1C/qp.pdf,2026-09-11T11:55:38Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch0--2014-06--4CH0-2CR--ms,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/June 2014 (R) MS - Paper 2C Edexcel Chemistry IGCSE.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,3f6d336dc271c76ae2d882ec0b5d2b137879768288e26bc7ae8593a3119b1ee5,past-papers/pearson-edexcel/international-gcse/chemistry/4ch0/past-papers/2014-06/4CH0-2C/ms.pdf,2026-09-11T11:55:42Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch0--2014-06--4CH0-2CR--qp,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/June 2014 (R) QP - Paper 2C Edexcel Chemistry IGCSE.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,aa1b11cff9c757c6805cf0fe2c0b0b8975c161e73b9efdbda6cc339bc8ed178b,past-papers/pearson-edexcel/international-gcse/chemistry/4ch0/past-papers/2014-06/4CH0-2C/qp.pdf,2026-09-11T11:55:46Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch0--2016-06--4CH0-1CR--ms,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/June 2016 (R) MS - Paper 1C Edexcel Chemistry IGCSE.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,cfe40a1bb0954221cd71a43bdfca46eecd3707818b29264cdefb2a6f7f2eabda,past-papers/pearson-edexcel/international-gcse/chemistry/4ch0/past-papers/2016-06/4CH0-1C/ms.pdf,2026-09-11T11:55:50Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
4ch0--2016-06--4CH0-1CR--qp,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/June 2016 (R) QP - Paper 1C Edexcel Chemistry IGCSE.pdf,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,d5d0f929000f076cfd5e753ac711646ba8c33d3819dcef189e64127448dd8b2d,past-papers/pearson-edexcel/international-gcse/chemistry/4ch0/past-papers/2016-06/4CH0-1C/qp.pdf,2026-09-11T11:55:54Z,byte-identical to existing corpus artifact (charter s.19) — not placed; PMT listing adds no new artifact
