board,qualification,subject,spec_slug,series,paper_ref,variant,material_type,source_page_url,source_file_url,expected_identity,status
pearson-edexcel,international-gcse,chemistry,,,,none,other,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-1/Grade Boundaries - Edexcel Chemistry AS.pdf,Not QP/MS (grade-boundaries) - out of scope (D2),na:grade-boundaries
pearson-edexcel,international-gcse,chemistry,,,,none,other,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-4/Data Booklet - Edexcel IAL Chemistry A-level.pdf,Not QP/MS (data-booklet) - out of scope (D2),na:data-booklet
pearson-edexcel,international-gcse,chemistry,,,,none,other,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-5/Data Booklet - Edexcel IAL Chemistry A-level.pdf,Not QP/MS (data-booklet) - out of scope (D2),na:data-booklet
pearson-edexcel,international-gcse,chemistry,,,,none,other,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-6/Grade Boundaries - Edexcel Chemistry A2.pdf,Not QP/MS (grade-boundaries) - out of scope (D2),na:grade-boundaries
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/QP/Specimen (IAL) QP .pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) QP .pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-1/MS/Specimen (IAL) MS .pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) MS .pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-1/Specimen (IAL) MS - Unit 1 Edexcel Chemistry A-level.pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) MS - Unit 1 Edexcel Chemistry A-level.pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-1/Specimen (IAL) QP - Unit 1 Edexcel Chemistry A-level.pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) QP - Unit 1 Edexcel Chemistry A-level.pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/QP/Specimen (IAL) QP .pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) QP .pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-2/MS/Specimen (IAL) MS .pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) MS .pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-2/Specimen (IAL) MS - Unit 2 Edexcel Chemistry A-level.pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) MS - Unit 2 Edexcel Chemistry A-level.pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-2/Specimen (IAL) QP - Unit 2 Edexcel Chemistry A-level.pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) QP - Unit 2 Edexcel Chemistry A-level.pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/QP/Specimen (IAL) QP .pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) QP .pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-3/MS/Specimen (IAL) MS .pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) MS .pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-3/Specimen (IAL) MS - Unit 3 Edexcel Chemistry A-level.pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) MS - Unit 3 Edexcel Chemistry A-level.pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-3/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-3/Specimen (IAL) QP - Unit 3 Edexcel Chemistry A-level.pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) QP - Unit 3 Edexcel Chemistry A-level.pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/QP/Specimen (IAL) QP .pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) QP .pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-4/MS/Specimen (IAL) MS .pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) MS .pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-4/Specimen (IAL) MS - Unit 4 Edexcel Chemistry A-level.pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) MS - Unit 4 Edexcel Chemistry A-level.pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-4/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-4/Specimen (IAL) QP - Unit 4 Edexcel Chemistry A-level.pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) QP - Unit 4 Edexcel Chemistry A-level.pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-5/QP/Specimen (IAL) QP .pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) QP .pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-5/MS/Specimen (IAL) MS .pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) MS .pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-5/Specimen (IAL) MS - Unit 5 Edexcel Chemistry A-level.pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) MS - Unit 5 Edexcel Chemistry A-level.pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-5/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-5/Specimen (IAL) QP - Unit 5 Edexcel Chemistry A-level.pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) QP - Unit 5 Edexcel Chemistry A-level.pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-6/QP/Specimen (IAL) QP .pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) QP .pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/2018-spec/Unit-6/MS/Specimen (IAL) MS .pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) MS .pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-6/Specimen (IAL) MS - Unit 6 Edexcel Chemistry A-level.pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) MS - Unit 6 Edexcel Chemistry A-level.pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/a-level-chemistry/edexcel-unit-6/,https://pmt.physicsandmathstutor.com/download/Chemistry/A-level/Past-Papers/Edexcel-IAL/Unit-6/Specimen (IAL) QP - Unit 6 Edexcel Chemistry A-level.pdf,Specimen material (charter s.12 - never in past-papers/): Specimen (IAL) QP - Unit 6 Edexcel Chemistry A-level.pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,4ch1,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/New-Spec-Paper-1/QP/Specimen 2017 QP .pdf,Specimen material (charter s.12 - never in past-papers/): Specimen 2017 QP .pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,4ch1,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/New-Spec-Paper-1/MS/Specimen 2017 MS .pdf,Specimen material (charter s.12 - never in past-papers/): Specimen 2017 MS .pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,4ch1,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/New-Spec-Paper-2/QP/Specimen 2017 QP.pdf,Specimen material (charter s.12 - never in past-papers/): Specimen 2017 QP.pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,4ch1,,,none,specimen,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/New-Spec-Paper-2/MS/Specimen 2017 MS.pdf,Specimen material (charter s.12 - never in past-papers/): Specimen 2017 MS.pdf,na:specimen
pearson-edexcel,international-gcse,chemistry,4ch0,2011-06,4CH0-1C,none,ms,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/June 2011 MS - Paper 1C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-1C June 2011 mark scheme,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2011-06,4CH0-1C,none,qp,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/June 2011 QP - Paper 1C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-1C June 2011 question paper,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2011-06,4CH0-2C,none,ms,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/June 2011 MS - Paper 2C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-2C June 2011 mark scheme,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2011-06,4CH0-2C,none,qp,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/June 2011 QP - Paper 2C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-2C June 2011 question paper,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2012-01,4CH0-1C,none,ms,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/January 2012 MS - Paper 1C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-1C January 2012 mark scheme,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2012-01,4CH0-1C,none,qp,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/January 2012 QP - Paper 1C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-1C January 2012 question paper,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2012-01,4CH0-2C,none,ms,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/January 2012 MS - Paper 2C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-2C January 2012 mark scheme,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2012-01,4CH0-2C,none,qp,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/January 2012 QP - Paper 2C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-2C January 2012 question paper,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2012-06,4CH0-1C,none,ms,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/June 2012 MS - Paper 1C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-1C June 2012 mark scheme,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2012-06,4CH0-1C,none,qp,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/June 2012 QP - Paper 1C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-1C June 2012 question paper,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2012-06,4CH0-2C,none,ms,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/June 2012 MS - Paper 2C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-2C June 2012 mark scheme,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2012-06,4CH0-2C,none,qp,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/June 2012 QP - Paper 2C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-2C June 2012 question paper,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2013-01,4CH0-1C,none,ms,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/January 2013 MS - Paper 1C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-1C January 2013 mark scheme,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2013-01,4CH0-1C,none,qp,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/January 2013 QP - Paper 1C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-1C January 2013 question paper,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2013-01,4CH0-2C,none,ms,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/January 2013 MS - Paper 2C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-2C January 2013 mark scheme,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2013-01,4CH0-2C,none,qp,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/January 2013 QP - Paper 2C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-2C January 2013 question paper,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2013-06,4CH0-1C,none,ms,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/June 2013 MS - Paper 1C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-1C June 2013 mark scheme,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2013-06,4CH0-1C,none,qp,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/June 2013 QP - Paper 1C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-1C June 2013 question paper,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2013-06,4CH0-1CR,R,ms,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/June 2013 (R) MS - Paper 1C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-1C (R) June 2013 mark scheme,na:duplicate-of-corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2013-06,4CH0-1CR,R,qp,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/June 2013 (R) QP - Paper 1C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-1C (R) June 2013 question paper,na:duplicate-of-corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2013-06,4CH0-2C,none,ms,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/June 2013 MS - Paper 2C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-2C June 2013 mark scheme,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2013-06,4CH0-2C,none,qp,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/June 2013 QP - Paper 2C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-2C June 2013 question paper,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2013-06,4CH0-2CR,R,ms,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/June 2013 (R) MS - Paper 2C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-2C (R) June 2013 mark scheme,na:duplicate-of-corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2013-06,4CH0-2CR,R,qp,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-2/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-2/June 2013 (R) QP - Paper 2C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-2C (R) June 2013 question paper,na:duplicate-of-corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2014-01,4CH0-1C,none,ms,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/January 2014 MS - Paper 1C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-1C January 2014 mark scheme,corpus
pearson-edexcel,international-gcse,chemistry,4ch0,2014-01,4CH0-1C,none,qp,https://www.physicsandmathstutor.com/past-papers/gcse-chemistry/edexcel-igcse-paper-1/,https://pmt.physicsandmathstutor.com/download/Chemistry/GCSE/Past-Papers/Edexcel-IGCSE/Paper-1/January 2014 QP - Paper 1C Edexcel Chemistry IGCSE.pdf,Edexcel International GCSE Chemistry 4CH0-1C January 2014 question paper,corpus
